UNITID-PK,AWLEVELC-PK,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
174738,3,R,647,R,227,R,420,R,0,R,27,R,44,R,37,R,0,R,503,R,28,R,1,R,7,R,16,R,361,R,207,R,63,R,0
174738,12,R,136,R,46,R,90,R,0,R,10,R,19,R,12,R,0,R,89,R,4,R,2,R,0,R,2,R,47,R,55,R,32,R,0
174747,5,R,456,R,0,R,456,R,6,R,17,R,12,R,34,R,0,R,372,R,0,R,0,R,15,R,0,R,444,R,11,R,1,R,0
174756,2,R,268,R,152,R,116,R,0,R,1,R,19,R,10,R,0,R,223,R,8,R,4,R,3,R,2,R,156,R,70,R,39,R,1
174756,3,R,704,R,251,R,453,R,3,R,10,R,75,R,36,R,0,R,548,R,30,R,0,R,2,R,5,R,441,R,224,R,34,R,0
174756,12,R,4,R,3,R,1,R,0,R,0,R,1,R,0,R,0,R,2,R,1,R,0,R,0,R,0,R,4,R,0,R,0,R,0
174783,3,R,122,R,54,R,68,R,0,R,4,R,13,R,10,R,0,R,89,R,5,R,0,R,1,R,4,R,89,R,23,R,6,R,0
174783,5,R,1761,R,824,R,937,R,2,R,101,R,135,R,61,R,2,R,1189,R,46,R,7,R,218,R,0,R,1190,R,506,R,65,R,0
174783,7,R,515,R,198,R,317,R,2,R,26,R,25,R,15,R,1,R,259,R,7,R,74,R,106,R,1,R,73,R,364,R,77,R,0
174783,9,R,24,R,6,R,18,R,0,R,1,R,3,R,1,R,0,R,16,R,0,R,1,R,2,R,0,R,0,R,6,R,18,R,0
174783,10,R,78,R,25,R,53,R,0,R,1,R,3,R,1,R,0,R,56,R,3,R,11,R,3,R,0,R,2,R,39,R,36,R,1
174783,12,R,53,R,25,R,28,R,1,R,3,R,2,R,1,R,0,R,36,R,1,R,0,R,9,R,0,R,36,R,15,R,2,R,0
174792,5,R,374,R,374,R,0,R,3,R,17,R,18,R,24,R,2,R,290,R,0,R,0,R,20,R,0,R,356,R,16,R,2,R,0
174792,7,R,26,R,15,R,11,R,0,R,0,R,0,R,2,R,0,R,18,R,0,R,0,R,6,R,0,R,0,R,10,R,16,R,0
174817,5,R,371,R,168,R,203,R,2,R,12,R,38,R,27,R,1,R,256,Z,0,R,28,R,7,R,0,R,251,R,64,R,45,R,11
174817,7,R,1275,R,366,R,909,R,6,R,43,R,78,R,55,R,4,R,897,R,1,R,172,R,19,R,0,R,53,R,890,R,288,R,44
174817,9,R,32,R,15,R,17,Z,0,R,2,R,3,Z,0,Z,0,R,19,R,1,R,3,R,4,R,0,R,0,R,13,R,17,R,2
174817,10,R,150,R,46,R,104,R,6,R,6,R,7,R,3,Z,0,R,117,Z,0,R,11,R,0,R,0,R,10,R,78,R,57,R,5
174844,5,R,675,R,241,R,434,R,1,R,54,R,19,R,39,R,1,R,452,R,21,R,9,R,79,R,0,R,663,R,11,R,1,R,0
174862,3,R,24,R,9,R,15,Z,0,Z,0,R,1,Z,0,Z,0,R,22,R,1,Z,0,Z,0,R,1,R,11,R,10,R,2,Z,0
